,0
2024-03-31,-2.3004668100371113
2024-04-30,-2.3950188206991228
2024-05-31,-2.5536203956186134
2024-06-30,-2.682297061535873
2024-07-31,-2.8452853518814463
2024-08-31,-3.0637739609490495
2024-09-30,-3.2046029322820346
2024-10-31,-3.312991900527315
2024-11-30,-3.4245133378163106
2024-12-31,-3.544368874461391
2025-01-31,-3.652536225706799
2025-02-28,-3.730685835692276
2025-03-31,-3.8074095264054186
2025-04-30,-3.9354763979372063
2025-05-31,-4.073032106789337
2025-06-30,-4.201296362425306
2025-07-31,-4.3575948918036485
2025-08-31,-4.4294567257309545
2025-09-30,-4.536583405865688
2025-10-31,-4.700277273323115
2025-11-30,-4.697944157182224
2025-12-31,-4.660438654613892
